@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
M, 0.455, 0.365, 0.095, 0.514, 0.2245, 0.101, 0.15, 15
I, 0.355, 0.28, 0.085, 0.2905, 0.095, 0.0395, 0.115, 7
M, 0.365, 0.295, 0.08, 0.2555, 0.097, 0.043, 0.1, 7
F, 0.58, 0.45, 0.185, 0.9955, 0.3945, 0.272, 0.285, 11
F, 0.575, 0.445, 0.135, 0.883, 0.381, 0.2035, 0.26, 11
M, 0.355, 0.29, 0.09, 0.3275, 0.134, 0.086, 0.09, 9
I, 0.205, 0.15, 0.055, 0.042, 0.0255, 0.015, 0.012, 5
F, 0.505, 0.4, 0.125, 0.583, 0.246, 0.13, 0.175, 7
M, 0.425, 0.325, 0.095, 0.3785, 0.1705, 0.08, 0.1, 7
M, 0.475, 0.355, 0.12, 0.48, 0.234, 0.1015, 0.135, 8
F, 0.475, 0.39, 0.12, 0.5305, 0.2135, 0.1155, 0.17, 10
F, 0.595, 0.475, 0.17, 1.247, 0.48, 0.225, 0.425, 20
F, 0.6, 0.475, 0.15, 1.0075, 0.4425, 0.221, 0.28, 15
M, 0.62, 0.51, 0.175, 1.615, 0.5105, 0.192, 0.675, 12
M, 0.58, 0.45, 0.14, 1.013, 0.38, 0.216, 0.36, 14
F, 0.57, 0.465, 0.18, 1.295, 0.339, 0.2225, 0.44, 12
M, 0.47, 0.37, 0.13, 0.5225, 0.201, 0.133, 0.165, 7
F, 0.545, 0.43, 0.165, 0.802, 0.2935, 0.183, 0.28, 11
I, 0.435, 0.32, 0.08, 0.3325, 0.1485, 0.0635, 0.105, 9
M, 0.37, 0.265, 0.075, 0.214, 0.09, 0.051, 0.07, 6
I, 0.27, 0.195, 0.06, 0.073, 0.0285, 0.0235, 0.03, 5
I, 0.385, 0.29, 0.085, 0.2505, 0.112, 0.061, 0.08, 8
I, 0.35, 0.26, 0.095, 0.211, 0.086, 0.056, 0.068, 7
F, 0.305, 0.23, 0.08, 0.156, 0.0675, 0.0345, 0.048, 7
F, 0.565, 0.445, 0.155, 0.826, 0.341, 0.2055, 0.2475, 10
F, 0.55, 0.45, 0.145, 0.741, 0.295, 0.1435, 0.2665, 10
F, 0.49, 0.38, 0.125, 0.549, 0.245, 0.1075, 0.174, 10
F, 0.605, 0.5, 0.185, 1.1185, 0.469, 0.2585, 0.335, 9
M, 0.605, 0.465, 0.165, 1.056, 0.4215, 0.2475, 0.34, 13
F, 0.605, 0.485, 0.16, 1.222, 0.53, 0.2575, 0.28, 13
I, 0.225, 0.16, 0.045, 0.0465, 0.025, 0.015, 0.015, 4
M, 0.64, 0.51, 0.175, 1.368, 0.515, 0.266, 0.57, 21
F, 0.62, 0.475, 0.175, 1.0165, 0.4355, 0.214, 0.325, 10
M, 0.62, 0.49, 0.19, 1.218, 0.5455, 0.2965, 0.355, 13
M, 0.5, 0.405, 0.155, 0.772, 0.346, 0.1535, 0.245, 12
F, 0.505, 0.41, 0.15, 0.644, 0.285, 0.145, 0.21, 11
F, 0.525, 0.415, 0.17, 0.8325, 0.2755, 0.1685, 0.31, 13
F, 0.49, 0.365, 0.145, 0.6345, 0.1995, 0.1625, 0.22, 10
F, 0.415, 0.325, 0.105, 0.38, 0.1595, 0.0785, 0.12, 12
M, 0.45, 0.35, 0.13, 0.46, 0.174, 0.111, 0.135, 8
F, 0.39, 0.29, 0.125, 0.3055, 0.121, 0.082, 0.09, 7
M, 0.565, 0.425, 0.16, 0.9425, 0.3495, 0.2185, 0.275, 17
