@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
I, 0.33, 0.255, 0.08, 0.205, 0.0895, 0.0395, 0.055, 7
F, 0.545, 0.425, 0.125, 0.768, 0.294, 0.1495, 0.26, 16
I, 0.38, 0.275, 0.1, 0.2255, 0.08, 0.049, 0.085, 10
M, 0.58, 0.47, 0.165, 0.9975, 0.3935, 0.242, 0.33, 10
M, 0.465, 0.355, 0.105, 0.4795, 0.227, 0.124, 0.125, 8
F, 0.54, 0.475, 0.155, 1.217, 0.5305, 0.3075, 0.34, 16
F, 0.46, 0.375, 0.12, 0.4605, 0.1775, 0.11, 0.15, 7
M, 0.47, 0.385, 0.135, 0.5895, 0.2765, 0.12, 0.17, 8
F, 0.595, 0.495, 0.185, 1.285, 0.416, 0.224, 0.485, 13
F, 0.605, 0.45, 0.195, 1.098, 0.481, 0.2895, 0.315, 13
M, 0.595, 0.475, 0.14, 0.944, 0.3625, 0.189, 0.315, 9
F, 0.555, 0.425, 0.14, 0.788, 0.282, 0.1595, 0.285, 11
F, 0.52, 0.425, 0.165, 0.9885, 0.396, 0.225, 0.32, 16
M, 0.565, 0.425, 0.135, 0.8115, 0.341, 0.1675, 0.255, 15
M, 0.555, 0.44, 0.15, 0.755, 0.307, 0.1525, 0.26, 12
M, 0.665, 0.535, 0.195, 1.606, 0.5755, 0.388, 0.48, 14
F, 0.475, 0.375, 0.125, 0.5785, 0.2775, 0.085, 0.155, 10
F, 0.52, 0.41, 0.155, 0.727, 0.291, 0.1835, 0.235, 12
F, 0.435, 0.395, 0.105, 0.3635, 0.136, 0.098, 0.13, 9
F, 0.56, 0.43, 0.15, 0.8825, 0.3465, 0.172, 0.31, 9
F, 0.325, 0.26, 0.09, 0.1915, 0.085, 0.036, 0.062, 7
F, 0.425, 0.33, 0.115, 0.406, 0.1635, 0.081, 0.1355, 8
F, 0.405, 0.325, 0.11, 0.3555, 0.151, 0.063, 0.117, 9
M, 0.475, 0.375, 0.13, 0.5175, 0.2075, 0.1165, 0.17, 10
F, 0.605, 0.485, 0.16, 1.0565, 0.37, 0.2355, 0.355, 10
F, 0.58, 0.455, 0.17, 0.9075, 0.374, 0.2135, 0.285, 13
M, 0.61, 0.485, 0.175, 1.2445, 0.544, 0.297, 0.345, 12
F, 0.65, 0.545, 0.23, 1.752, 0.5605, 0.2895, 0.815, 16
M, 0.725, 0.57, 0.19, 2.55, 1.0705, 0.483, 0.725, 14
M, 0.695, 0.55, 0.215, 1.9565, 0.7125, 0.541, 0.59, 14
F, 0.53, 0.395, 0.145, 0.775, 0.308, 0.169, 0.255, 7
I, 0.235, 0.16, 0.04, 0.048, 0.0185, 0.018, 0.015, 5
F, 0.56, 0.45, 0.16, 1.0235, 0.429, 0.268, 0.3, 10
I, 0.435, 0.34, 0.11, 0.3795, 0.1495, 0.085, 0.12, 8
F, 0.47, 0.35, 0.145, 0.5175, 0.187, 0.1235, 0.18, 11
M, 0.565, 0.44, 0.175, 0.9025, 0.31, 0.193, 0.325, 14
