@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
M, 0.49, 0.38, 0.135, 0.5415, 0.2175, 0.095, 0.19, 11
M, 0.5, 0.4, 0.13, 0.6645, 0.258, 0.133, 0.24, 12
M, 0.45, 0.32, 0.1, 0.381, 0.1705, 0.075, 0.115, 9
M, 0.575, 0.425, 0.14, 0.8635, 0.393, 0.227, 0.2, 11
M, 0.47, 0.37, 0.12, 0.5795, 0.293, 0.227, 0.14, 9
F, 0.525, 0.425, 0.16, 0.8355, 0.3545, 0.2135, 0.245, 9
I, 0.52, 0.41, 0.12, 0.595, 0.2385, 0.111, 0.19, 8
M, 0.445, 0.35, 0.12, 0.4425, 0.192, 0.0955, 0.135, 8
F, 0.53, 0.41, 0.13, 0.6965, 0.302, 0.1935, 0.2, 10
M, 0.52, 0.4, 0.12, 0.58, 0.234, 0.1315, 0.185, 8
F, 0.565, 0.44, 0.16, 0.915, 0.354, 0.1935, 0.32, 12
M, 0.555, 0.425, 0.13, 0.7665, 0.264, 0.168, 0.275, 13
F, 0.575, 0.445, 0.14, 0.941, 0.3845, 0.252, 0.285, 9
F, 0.625, 0.495, 0.165, 1.262, 0.507, 0.318, 0.39, 10
F, 0.545, 0.41, 0.125, 0.6935, 0.2975, 0.146, 0.21, 11
F, 0.49, 0.375, 0.135, 0.6125, 0.2555, 0.102, 0.22, 11
I, 0.385, 0.295, 0.085, 0.2535, 0.103, 0.0575, 0.085, 7
M, 0.71, 0.54, 0.165, 1.959, 0.7665, 0.261, 0.78, 18
F, 0.44, 0.35, 0.125, 0.4035, 0.175, 0.063, 0.129, 9
I, 0.265, 0.2, 0.065, 0.0975, 0.04, 0.0205, 0.028, 7
M, 0.345, 0.255, 0.09, 0.2005, 0.094, 0.0295, 0.063, 9
M, 0.56, 0.455, 0.155, 0.797, 0.34, 0.19, 0.2425, 11
M, 0.645, 0.485, 0.215, 1.514, 0.546, 0.2615, 0.635, 16
F, 0.725, 0.56, 0.21, 2.141, 0.65, 0.398, 1.005, 18
F, 0.725, 0.575, 0.175, 2.124, 0.765, 0.4515, 0.85, 20
F, 0.68, 0.515, 0.175, 1.6185, 0.5125, 0.409, 0.62, 12
M, 0.525, 0.435, 0.155, 1.065, 0.486, 0.233, 0.285, 8
I, 0.36, 0.26, 0.09, 0.1785, 0.0645, 0.037, 0.075, 7
M, 0.57, 0.48, 0.18, 0.9395, 0.399, 0.2, 0.295, 14
F, 0.645, 0.51, 0.2, 1.5675, 0.621, 0.367, 0.46, 12
F, 0.51, 0.4, 0.14, 0.8145, 0.459, 0.1965, 0.195, 10
F, 0.53, 0.435, 0.17, 0.8155, 0.2985, 0.155, 0.275, 13
M, 0.42, 0.335, 0.115, 0.369, 0.171, 0.071, 0.12, 8
F, 0.44, 0.34, 0.14, 0.482, 0.186, 0.1085, 0.16, 9
M, 0.5, 0.405, 0.14, 0.6155, 0.241, 0.1355, 0.205, 9
I, 0.405, 0.3, 0.12, 0.324, 0.1265, 0.07, 0.11, 7
F, 0.53, 0.415, 0.16, 0.783, 0.2935, 0.158, 0.245, 15
I, 0.13, 0.1, 0.03, 0.013, 0.0045, 0.0030, 0.0040, 3
I, 0.27, 0.2, 0.07, 0.1, 0.034, 0.0245, 0.035, 5
I, 0.23, 0.175, 0.065, 0.0645, 0.026, 0.0105, 0.02, 5
M, 0.59, 0.47, 0.18, 1.1235, 0.4205, 0.2805, 0.36, 13
F, 0.595, 0.455, 0.155, 1.0605, 0.5135, 0.2165, 0.3, 12
M, 0.56, 0.45, 0.185, 1.07, 0.3805, 0.175, 0.41, 19
I, 0.245, 0.195, 0.06, 0.095, 0.0445, 0.0245, 0.026, 4
F, 0.66, 0.53, 0.185, 1.3485, 0.493, 0.245, 0.49, 12
M, 0.61, 0.5, 0.24, 1.642, 0.532, 0.3345, 0.69, 18
F, 0.535, 0.415, 0.185, 0.8415, 0.314, 0.1585, 0.3, 15
M, 0.515, 0.38, 0.175, 0.9565, 0.325, 0.158, 0.31, 14
M, 0.44, 0.355, 0.125, 0.4775, 0.132, 0.0815, 0.19, 9
F, 0.535, 0.435, 0.16, 0.8105, 0.3155, 0.1795, 0.24, 10
M, 0.61, 0.475, 0.165, 1.116, 0.428, 0.2205, 0.315, 15
F, 0.405, 0.305, 0.095, 0.3485, 0.1455, 0.0895, 0.1, 9
M, 0.37, 0.28, 0.1, 0.252, 0.1065, 0.0595, 0.074, 8
I, 0.165, 0.12, 0.03, 0.0215, 0.0070, 0.0050, 0.0050, 3
M, 0.645, 0.515, 0.24, 1.5415, 0.471, 0.369, 0.535, 13
M, 0.56, 0.44, 0.14, 0.971, 0.443, 0.2045, 0.265, 14
F, 0.62, 0.47, 0.2, 1.2255, 0.381, 0.27, 0.435, 23
M, 0.63, 0.485, 0.175, 1.3, 0.4335, 0.2945, 0.46, 23
F, 0.4, 0.325, 0.12, 0.3185, 0.134, 0.0565, 0.095, 8
F, 0.505, 0.375, 0.18, 0.568, 0.2325, 0.1495, 0.17, 12
F, 0.69, 0.56, 0.215, 1.719, 0.68, 0.299, 0.47, 17
M, 0.685, 0.52, 0.15, 1.343, 0.4635, 0.292, 0.4, 13
F, 0.585, 0.45, 0.16, 1.077, 0.4995, 0.2875, 0.25, 10
M, 0.535, 0.42, 0.145, 0.791, 0.33, 0.189, 0.25, 10
M, 0.545, 0.425, 0.135, 0.8445, 0.373, 0.21, 0.235, 10
