@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
M, 0.35, 0.265, 0.09, 0.2255, 0.0995, 0.0485, 0.07, 7
F, 0.53, 0.42, 0.135, 0.677, 0.2565, 0.1415, 0.21, 9
I, 0.425, 0.3, 0.095, 0.3515, 0.141, 0.0775, 0.12, 8
F, 0.525, 0.38, 0.14, 0.6065, 0.194, 0.1475, 0.21, 14
F, 0.44, 0.34, 0.1, 0.451, 0.188, 0.087, 0.13, 10
F, 0.68, 0.56, 0.165, 1.639, 0.6055, 0.2805, 0.46, 15
F, 0.68, 0.55, 0.175, 1.798, 0.815, 0.3925, 0.455, 19
F, 0.705, 0.55, 0.2, 1.7095, 0.633, 0.4115, 0.49, 13
F, 0.55, 0.425, 0.135, 0.8515, 0.362, 0.196, 0.27, 14
I, 0.325, 0.245, 0.07, 0.161, 0.0755, 0.0255, 0.045, 6
M, 0.405, 0.31, 0.1, 0.385, 0.173, 0.0915, 0.11, 7
F, 0.5, 0.4, 0.14, 0.6615, 0.2565, 0.1755, 0.22, 8
M, 0.57, 0.48, 0.175, 1.185, 0.474, 0.261, 0.38, 11
F, 0.6, 0.47, 0.15, 0.922, 0.363, 0.194, 0.305, 10
M, 0.595, 0.475, 0.16, 1.3175, 0.408, 0.234, 0.58, 21
M, 0.625, 0.465, 0.14, 1.195, 0.4825, 0.205, 0.4, 13
M, 0.56, 0.44, 0.16, 0.8645, 0.3305, 0.2075, 0.26, 10
M, 0.535, 0.435, 0.15, 0.725, 0.269, 0.1385, 0.25, 9
I, 0.36, 0.265, 0.095, 0.2315, 0.105, 0.046, 0.075, 7
F, 0.5, 0.4, 0.125, 0.6675, 0.261, 0.1315, 0.22, 10
M, 0.425, 0.35, 0.105, 0.393, 0.13, 0.063, 0.165, 9
M, 0.44, 0.34, 0.105, 0.402, 0.1305, 0.0955, 0.165, 10
I, 0.375, 0.275, 0.09, 0.238, 0.1075, 0.0545, 0.07, 6
M, 0.595, 0.48, 0.165, 1.262, 0.4835, 0.283, 0.41, 17
M, 0.65, 0.52, 0.19, 1.3445, 0.519, 0.306, 0.4465, 16
M, 0.46, 0.35, 0.12, 0.515, 0.224, 0.108, 0.1565, 10
I, 0.28, 0.205, 0.08, 0.127, 0.052, 0.039, 0.042, 9
F, 0.635, 0.515, 0.19, 1.3715, 0.5065, 0.305, 0.45, 10
M, 0.515, 0.405, 0.13, 0.722, 0.32, 0.131, 0.21, 10
F, 0.575, 0.46, 0.165, 1.124, 0.2985, 0.1785, 0.44, 13
F, 0.68, 0.57, 0.205, 1.842, 0.625, 0.408, 0.65, 20
M, 0.705, 0.56, 0.22, 1.981, 0.8175, 0.3085, 0.76, 14
I, 0.315, 0.245, 0.085, 0.1435, 0.053, 0.0475, 0.05, 8
M, 0.58, 0.475, 0.15, 0.97, 0.385, 0.2165, 0.35, 11
F, 0.63, 0.5, 0.185, 1.383, 0.54, 0.3315, 0.38, 10
F, 0.63, 0.48, 0.16, 1.199, 0.5265, 0.335, 0.315, 11
M, 0.615, 0.48, 0.18, 1.1595, 0.4845, 0.2165, 0.325, 13
M, 0.64, 0.5, 0.185, 1.3035, 0.4445, 0.2635, 0.465, 16
F, 0.5, 0.4, 0.145, 0.63, 0.234, 0.1465, 0.23, 12
F, 0.445, 0.355, 0.15, 0.485, 0.181, 0.125, 0.155, 11
I, 0.425, 0.38, 0.105, 0.3265, 0.1285, 0.0785, 0.1, 10
F, 0.58, 0.465, 0.165, 1.1015, 0.404, 0.2095, 0.35, 11
I, 0.275, 0.215, 0.075, 0.1155, 0.0485, 0.029, 0.035, 7
I, 0.295, 0.225, 0.08, 0.124, 0.0485, 0.032, 0.04, 9
I, 0.11, 0.09, 0.03, 0.0080, 0.0025, 0.0020, 0.0030, 3
I, 0.16, 0.12, 0.035, 0.021, 0.0075, 0.0045, 0.0050, 5
I, 0.345, 0.27, 0.11, 0.2135, 0.082, 0.0545, 0.07, 7
M, 0.6, 0.495, 0.165, 1.2415, 0.485, 0.2775, 0.34, 15
F, 0.54, 0.475, 0.155, 0.928, 0.394, 0.194, 0.26, 11
F, 0.46, 0.38, 0.13, 0.639, 0.3, 0.1525, 0.16, 11
M, 0.35, 0.275, 0.11, 0.2925, 0.1225, 0.0635, 0.0905, 8
F, 0.45, 0.36, 0.125, 0.4995, 0.2035, 0.1, 0.17, 13
M, 0.59, 0.5, 0.2, 1.187, 0.412, 0.2705, 0.37, 16
M, 0.63, 0.505, 0.225, 1.525, 0.56, 0.3335, 0.45, 15
M, 0.655, 0.54, 0.215, 1.844, 0.7425, 0.327, 0.585, 22
M, 0.635, 0.525, 0.205, 1.484, 0.55, 0.3115, 0.43, 20
M, 0.54, 0.435, 0.18, 0.996, 0.3835, 0.226, 0.325, 17
M, 0.6, 0.495, 0.195, 1.0575, 0.384, 0.19, 0.375, 26
M, 0.37, 0.28, 0.105, 0.234, 0.0905, 0.0585, 0.075, 9
M, 0.51, 0.4, 0.13, 0.6435, 0.27, 0.1665, 0.205, 12
M, 0.575, 0.455, 0.145, 1.165, 0.581, 0.2275, 0.3, 14
F, 0.525, 0.42, 0.16, 0.756, 0.2745, 0.173, 0.275, 9
F, 0.62, 0.5, 0.175, 1.186, 0.4985, 0.3015, 0.35, 12
M, 0.58, 0.465, 0.145, 0.887, 0.4405, 0.1655, 0.265, 11
M, 0.63, 0.49, 0.18, 1.13, 0.458, 0.2765, 0.315, 12
M, 0.47, 0.375, 0.12, 0.5565, 0.226, 0.122, 0.195, 12
I, 0.465, 0.375, 0.12, 0.471, 0.222, 0.119, 0.14, 9
F, 0.515, 0.415, 0.14, 0.6935, 0.3115, 0.152, 0.2, 10
M, 0.59, 0.5, 0.165, 1.1045, 0.4565, 0.2425, 0.34, 15
F, 0.61, 0.485, 0.165, 1.0915, 0.3935, 0.2435, 0.33, 18
F, 0.575, 0.45, 0.17, 1.0475, 0.3775, 0.1705, 0.385, 18
I, 0.44, 0.345, 0.1, 0.366, 0.122, 0.0905, 0.12, 13
M, 0.5, 0.41, 0.15, 0.662, 0.2815, 0.137, 0.22, 11
M, 0.725, 0.565, 0.215, 1.891, 0.6975, 0.4725, 0.58, 16
F, 0.525, 0.41, 0.135, 0.7085, 0.293, 0.1525, 0.235, 11
M, 0.665, 0.54, 0.175, 1.347, 0.4955, 0.254, 0.415, 17
F, 0.7, 0.585, 0.185, 1.8075, 0.7055, 0.3215, 0.475, 29
M, 0.63, 0.48, 0.145, 1.0115, 0.4235, 0.237, 0.305, 12
F, 0.64, 0.52, 0.175, 1.248, 0.4245, 0.2595, 0.48, 12
I, 0.56, 0.445, 0.155, 0.8735, 0.3005, 0.209, 0.275, 16
I, 0.68, 0.53, 0.185, 1.1095, 0.439, 0.245, 0.34, 10
F, 0.49, 0.38, 0.145, 0.6725, 0.249, 0.181, 0.21, 10
F, 0.345, 0.25, 0.09, 0.203, 0.078, 0.059, 0.055, 6
F, 0.36, 0.27, 0.09, 0.1885, 0.0845, 0.0385, 0.055, 5
F, 0.57, 0.445, 0.155, 0.733, 0.282, 0.159, 0.235, 14
M, 0.29, 0.23, 0.075, 0.1165, 0.043, 0.0255, 0.04, 7
M, 0.255, 0.195, 0.065, 0.08, 0.0315, 0.018, 0.027, 8
F, 0.545, 0.415, 0.15, 0.7335, 0.2795, 0.163, 0.2185, 11
I, 0.45, 0.345, 0.135, 0.443, 0.1975, 0.0875, 0.1175, 14
F, 0.61, 0.475, 0.14, 1.133, 0.5275, 0.2355, 0.35, 11
F, 0.63, 0.48, 0.175, 1.3675, 0.5015, 0.3035, 0.515, 17
